url	Project	Assembly	Biosource	Assay	Replicate	Dataset	Description	Lab	Publications	Accession	Experiment
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/fc01b381-3665-4225-88ee-2e5e9ecb7324/4DNFIMEG1QIC.hic	External	GRCh38	CC-2551	MboI	merged replicates	Hi-C on CC-2551		Erez Lieberman Aiden, BCM	Rao SS et al. (2014) PMID:25497547	4DNFIMEG1QIC	DNESIE5R9HS
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3144a03c-15c3-4bf9-95f8-ffad2640a1bf/4DNFIWSB66VX.hic	External	GRCh38	IMR-90	HindIII	unreplicated	Hi-C on IMR-90		Erez Lieberman Aiden, BCM	Rao SS et al. (2014) PMID:25497547	4DNFIWSB66VX	DNESSM1H92K
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d7d3aac0-ba66-494b-ba0c-147631084b98/4DNFIH7TH4MF.hic	External	GRCh38	IMR-90	MboI	merged replicates	Hi-C on IMR-90		Erez Lieberman Aiden, BCM	Rao SS et al. (2014) PMID:25497547	4DNFIH7TH4MF	DNES1ZEJNRU
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/4b13bd19-fbd1-4c68-8855-4f0158d1ce47/4DNFIHKWIZ9T.hic	External	GRCh38	GM12878	MboI	merged replicates	Hi-C on GM12878 cells - protocol variations		Erez Lieberman Aiden, BCM	Kariti H et al. (2023) PMID:36629266, Rao SS et al. (2014) PMID:25497547	4DNFIHKWIZ9T	DNES4269GKX
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3d04e286-30d4-4add-a806-7a929d36419e/4DNFIZBBX795.hic	External	GRCh38	GM12878	MboI	unreplicated	Hi-C on GM12878 cells - protocol variations		Erez Lieberman Aiden, BCM	Kariti H et al. (2023) PMID:36629266, Rao SS et al. (2014) PMID:25497547	4DNFIZBBX795	DNESZMKWAD3
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/aa26f261-a88a-4cac-9118-ff8e90ab6f61/4DNFI9ZWZ5BS.hic	External	GRCh38	GM12878	DpnII	merged replicates	Hi-C on GM12878 cells - protocol variations		Erez Lieberman Aiden, BCM	Kariti H et al. (2023) PMID:36629266, Rao SS et al. (2014) PMID:25497547	4DNFI9ZWZ5BS	DNESQWI9K2F
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/24e516ce-0b49-4476-b818-cc96471d8765/4DNFIPAI8XB5.hic	External	GRCh38	GM12878	NcoI	merged replicates	Hi-C on GM12878 cells - protocol variations		Erez Lieberman Aiden, BCM	Rao SS et al. (2014) PMID:25497547, Kariti H et al. (2023) PMID:36629266	4DNFIPAI8XB5	DNESNDJ9QVX
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/ac3b06b5-46d4-4c1e-97e9-9a4f353473a7/4DNFI1OUWFSC.hic	External	GRCh38	GM12878	HindIII	merged replicates	Hi-C on GM12878 cells - protocol variations		Erez Lieberman Aiden, BCM	Kariti H et al. (2023) PMID:36629266, Rao SS et al. (2014) PMID:25497547	4DNFI1OUWFSC	DNESNZZR2VD
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/76c6aa27-895f-4e82-8ed8-7a85aca84490/4DNFIX4PJKXZ.hic	External	GRCh38	GM12878	MboI	merged replicates	Hi-C on GM12878 cells - protocol variations		Erez Lieberman Aiden, BCM	Rao SS et al. (2014) PMID:25497547, Kariti H et al. (2023) PMID:36629266	4DNFIX4PJKXZ	DNESPXW8XHY
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/e6fbe03a-997b-4d72-a3cc-f1ed7bd88a92/4DNFIZGCA8AH.hic	External	GRCh38	GM12878	MboI	merged replicates	Hi-C on GM12878 cells - protocol variations		Erez Lieberman Aiden, BCM	Rao SS et al. (2014) PMID:25497547, Kariti H et al. (2023) PMID:36629266	4DNFIZGCA8AH	DNESLLA3R1V
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/61d99a87-4ec6-4116-be99-b483999641c4/4DNFI5CGQ46V.hic	External	GRCh38	GM12878	MboI	merged replicates	Hi-C on GM12878 cells - protocol variations		Erez Lieberman Aiden, BCM	Dsouza KB et al. (2022) PMID:35764630, Kariti H et al. (2023) PMID:36629266, Rao SS et al. (2014) PMID:25497547	4DNFI5CGQ46V	DNESJFTAURO
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/271ea8cd-53b9-44c9-9fff-1bb5c444b54c/4DNFIOCW5AEM.hic	External	GRCh38	GM12878	MboI	merged replicates	Hi-C on GM12878 cells - protocol variations		Erez Lieberman Aiden, BCM	Dsouza KB et al. (2022) PMID:35764630, Kariti H et al. (2023) PMID:36629266, Rao SS et al. (2014) PMID:25497547	4DNFIOCW5AEM	DNESLQG7ZKJ
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a98ca64a-861a-4a8c-92e9-586af457b1fb/4DNFI1UEG1HD.hic	External	GRCh38	GM12878	MboI	merged replicates	Hi-C on GM12878 cells - protocol variations		Erez Lieberman Aiden, BCM	Kariti H et al. (2023) PMID:36629266, Rao SS et al. (2014) PMID:25497547, Deshpande AS et al. (2022) PMID:35637420, Erdmann-Pham DD et al. (2023) PMID:37932252	4DNFI1UEG1HD	DNES3JX38V5
